type,metric_agg,metric,citation,interpretation
metric,rank position within group,pairwise following order,,
metric,direction,orientation with respect to flow,,
metric,group size,mean group size,,
metric,group size,variability of group size,,
metric,nearest neighbour direction,direction to nearest neighbour,,
model,pertubation test of dynamic interaction,perturbation based association and avoidance,,
metric,DI in direction,dynamic interaction displacement and directio,,
metric,DI in displacement,dynamic interaction displacement and directio,,
metric,Don,risk-ratio,,
metric,IAB,IAB,,
metric,directional alignment,orientation alignment,,
model,stochastic process model,stochastic process model,,
metric,diffusive movement correlation,partitioning algorithm,,
metric,drift movement correlation,partitioning algorithm,,
metric,overall component movement correlation,partitioning algorithm,,
metric,approach-avoidance event,approach avoidance,,
metric,movement initiations pull and anchor,movement initiations pull and anchor,,
metric,movement disparity,movement disparity,,
metric,movement strength,movement strength,,
metric,movement initiations pull and anchor,successful and failed pulls,,
metric,optimal causal entropy,transfer entropy and optimal causation entropy,,
metric,transfer entropy,transfer entropy and optimal causation entropy,,
metric,group velocity,centre of mass velocity,,
metric,directional correlation delay,rank of turn order,,
metric,directional correlation delay,time-dependent directional correlations,,
metric,rank position within group,rank of position within group,,
metric,group velocity,average group velocity,,
metric,group direction,group mean bearing,,
model,change point detection,change point analysis,,
metric,group direction,decision parameter,,
metric,temporal correlation delay,pairwise time lag correlation,,
metric,group direction,model coefficient of direction matching at the group and individual level,,
metric,optimal causal entropy,optimal causal entropy principle,,
metric,potential path area,potential path area,,
metric,ORTEGA,ORTEGA,,
metric,closed swarm,leadership mining,,
metric,group velocity,group velocity,,
metric,interindividual distance,pairwise distance,,
metric,direction,turning rate,,
metric,position,distance from arena center,,
metric,cross correlation in speed,cross correlation in speed,,
metric,cross correlation in speed,reaction time,,
metric,directional alignment,nearest neighbour alignment,,
metric,group centroid,centroid of k nearest neighbours,,
NA,position,position,,
metric,direction to group centroid,direction to group center,,
metric,distance to group centroid,distance to group center,,
metric,group speed,speed of group center,,
metric,interindividual distance,group cohesion,,
metric,synchronization ratio,synchronization ratio,,
metric,synchronized switch in direction,synchronized switch in circling direction,,
metric,directional correlation delay,velocity cross-correlation,,
metric,group sphericity,group stretch and sphericity,Ganier 2016 (swaRm),
metric,group stretch,group stretch and sphericity,Ganier 2016 (swaRm),
metric,distance to group centroid,mean distance to group centroid,,
metric,convex hull,convex hull area and perimeter,,
metric,group speed,speed of group centroid,,
metric,speed,mean linear speed across individuals,,
metric,movement initiations pull and anchor,pulls,,
model,change point detection,change point detection on group centroid displacement speed,,
metric,rank position within group,front-back relative positional rank,,
metric,temporal correlation delay,time advances or delays,,
metric,time spent leading group,proportion of time spent in front of group centroid,,
metric,time spent leading group,variance in proportion of time fish spent in front of group centroid,,
metric,interindividual distance,mean IID,,
metric,directedness,directedness,,
metric,elongation,elongation,,
metric,tilt,tilt,,
metric,velocity,velocity vector,,
metric,following order parameter,following order,Vicsek & Zafeiris 2012,
metric,adjusted order parameter,adjusted order parameter,,
